Time,Note,Duration,Velocity,Instrument,Channel,Track,Tempo,Pan,Volume,Expression
0.0,64,1.0,74.08,50,9,0,120.0,64,100,80
1.0,63,0.5,74.08,1,0,0,120.0,64,100,80
1.5,66,0.25,74.08,1,0,0,120.0,64,100,80
1.75,68,2.0,74.08,1,0,0,120.0,64,100,80
3.75,0,1.0,74.08,49,9,0,120.0,64,100,80
4.75,64,0.5,74.08,1,0,0,120.0,64,100,80
5.25,64,0.5,74.08,1,0,0,120.0,64,100,80
5.75,71,2.0,74.08,1,0,0,120.0,64,100,80
7.75,64,0.5,74.08,1,0,0,120.0,64,100,80
8.25,60,1.0,74.08,1,0,0,120.0,64,100,80
9.25,64,0.5,74.08,1,0,0,120.0,64,100,80
9.75,69,2.0,74.08,1,0,0,120.0,64,100,80
11.75,69,2.0,74.08,1,0,0,144.9,64,100,80
13.75,65,1.0,74.08,49,9,0,126.0,64,100,80
14.75,67,0.25,74.08,1,0,0,126.0,64,100,80
15.0,62,0.5,74.08,1,0,0,126.0,64,100,80
15.5,71,2.0,74.08,1,0,0,126.0,64,100,80
17.5,62,0.5,74.08,1,0,0,126.0,64,100,80
18.0,64,0.5,74.08,1,0,0,126.0,64,100,80
18.5,62,0.5,74.08,1,0,0,126.0,64,100,80
19.0,60,1.0,74.08,1,0,0,126.0,64,100,80
20.0,69,2.0,74.08,1,0,0,126.0,64,100,80
22.0,62,0.5,74.08,1,0,0,126.0,64,100,80
22.5,60,1.0,74.08,1,0,0,126.0,64,100,80
23.5,69,2.0,84.66,50,9,0,126.0,64,100,80
25.5,69,2.0,84.66,1,0,0,126.0,64,100,80
27.5,67,0.25,84.66,1,0,0,126.0,64,100,80
27.75,64,1.0,84.66,50,9,0,126.0,64,100,80
28.75,68,2.0,84.66,1,0,0,126.0,64,100,80
30.75,70,2.0,84.66,1,0,0,126.0,64,100,80
32.75,59,1.0,84.66,1,0,0,126.0,64,100,80
33.75,59,1.0,84.66,1,0,0,152.14499999999998,64,100,80
34.75,63,0.5,84.66,1,0,0,132.3,64,100,80
35.25,63,0.5,84.66,1,0,0,159.75225,64,100,80
35.75,68,2.0,84.66,1,0,0,138.91500000000002,64,100,80
37.75,68,2.0,84.66,1,0,0,138.91500000000002,64,100,80
39.75,68,2.0,52.91,1,0,0,167.73986250000002,64,100,80
41.75,61,0.5,52.91,49,9,0,145.86075000000002,64,100,80
42.25,64,1.0,52.91,1,0,0,145.86075000000002,64,100,80
43.25,70,2.0,52.91,1,0,0,145.86075000000002,64,100,80
45.25,63,0.5,52.91,1,0,0,145.86075000000002,64,100,80
45.75,63,0.5,52.91,1,0,0,145.86075000000002,64,100,80
46.25,70,2.0,52.91,1,0,0,145.86075000000002,64,100,80
48.25,70,2.0,52.91,1,0,0,145.86075000000002,64,100,80
50.25,70,2.0,52.91,1,0,0,145.86075000000002,64,100,80
52.25,66,0.25,52.91,1,0,0,145.86075000000002,64,100,80
52.5,61,0.5,52.91,1,0,0,145.86075000000002,64,100,80
53.0,63,0.5,52.91,1,0,0,145.86075000000002,64,100,80
53.5,63,0.5,84.66,1,0,0,145.86075000000002,64,100,80
54.0,59,1.0,84.66,1,0,0,145.86075000000002,64,100,80
55.0,70,2.0,84.66,1,0,0,145.86075000000002,64,100,80
57.0,59,1.0,84.66,1,0,0,145.86075000000002,64,100,80
58.0,68,2.0,84.66,1,0,0,145.86075000000002,64,100,80
60.0,63,0.5,84.66,1,0,0,145.86075000000002,64,100,80
60.5,70,2.0,84.66,1,0,0,145.86075000000002,64,100,80
62.5,66,0.25,84.66,1,0,0,145.86075000000002,64,100,80
62.75,61,0.5,84.66,1,0,0,145.86075000000002,64,100,80
63.25,70,2.0,84.66,1,0,0,145.86075000000002,64,100,80
65.25,68,2.0,84.66,49,9,0,145.86075000000002,64,100,80
67.25,63,0.5,84.66,1,0,0,145.86075000000002,64,100,80
67.75,68,2.0,42.33,1,0,0,145.86075000000002,64,100,80
69.75,59,1.0,42.33,1,0,0,145.86075000000002,64,100,80
70.75,61,0.5,42.33,1,0,0,145.86075000000002,64,100,80
71.25,68,2.0,42.33,1,0,0,145.86075000000002,64,100,80
73.25,61,0.5,42.33,1,0,0,145.86075000000002,64,100,80
73.75,61,0.5,42.33,1,0,0,145.86075000000002,64,100,80
74.25,68,2.0,42.33,1,0,0,145.86075000000002,64,100,80
76.25,68,2.0,42.33,1,0,0,176.12685562500005,64,100,80
78.25,64,1.0,42.33,1,0,0,153.15378750000005,64,100,80
79.25,68,2.0,42.33,1,0,0,153.15378750000005,64,100,80
81.25,59,1.0,42.33,50,9,0,153.15378750000005,64,100,80
82.25,0,1.0,42.33,49,9,0,120.0,64,100,80
83.25,60,1.0,42.33,1,0,0,120.0,64,100,80
84.25,69,2.0,42.33,1,0,0,120.0,64,100,80
86.25,60,1.0,42.33,1,0,0,120.0,64,100,80
87.25,64,0.5,42.33,1,0,0,120.0,64,100,80
87.75,62,0.5,42.33,1,0,0,120.0,64,100,80
88.25,64,0.5,42.33,1,0,0,120.0,64,100,80
88.75,71,2.0,42.33,1,0,0,120.0,64,100,80
90.75,71,2.0,42.33,1,0,0,120.0,64,100,80
92.75,69,2.0,42.33,1,0,0,120.0,64,100,80
94.75,60,1.0,42.33,1,0,0,120.0,64,100,80
95.75,60,1.0,42.33,1,0,0,144.9,64,100,80
96.75,60,1.0,42.33,1,0,0,126.0,64,100,80
97.75,64,0.5,95.25,1,0,0,126.0,64,100,80
98.25,71,2.0,95.25,1,0,0,126.0,64,100,80
100.25,65,1.0,95.25,1,0,0,126.0,64,100,80
101.25,60,1.0,95.25,1,0,0,126.0,64,100,80
102.25,65,1.0,95.25,1,0,0,126.0,64,100,80
103.25,64,0.5,95.25,1,0,0,126.0,64,100,80
103.75,60,1.0,95.25,1,0,0,126.0,64,100,80
104.75,62,0.5,95.25,1,0,0,126.0,64,100,80
105.25,64,0.5,95.25,1,0,0,126.0,64,100,80
105.75,64,0.5,95.25,1,0,0,152.14499999999998,64,100,80
106.25,69,2.0,95.25,1,0,0,132.3,64,100,80
108.25,71,2.0,95.25,1,0,0,132.3,64,100,80
110.25,64,0.5,84.66,1,0,0,132.3,64,100,80
110.75,69,2.0,84.66,1,0,0,132.3,64,100,80
112.75,71,2.0,84.66,1,0,0,132.3,64,100,80
114.75,69,2.0,84.66,1,0,0,132.3,64,100,80
116.75,60,1.0,84.66,1,0,0,132.3,64,100,80
117.75,64,1.0,84.66,50,9,0,132.3,64,100,80
118.75,68,2.0,84.66,1,0,0,132.3,64,100,80
120.75,68,2.0,84.66,1,0,0,132.3,64,100,80
122.75,59,1.0,84.66,1,0,0,132.3,64,100,80
123.75,59,1.0,84.66,49,9,0,159.75225,64,100,80
124.75,63,0.5,84.66,1,0,0,138.91500000000002,64,100,80
125.25,63,0.5,84.66,1,0,0,138.91500000000002,64,100,80
125.75,59,1.0,63.5,1,0,0,138.91500000000002,64,100,80
126.75,64,1.0,63.5,1,0,0,138.91500000000002,64,100,80
127.75,70,2.0,63.5,1,0,0,138.91500000000002,64,100,80
129.75,59,1.0,63.5,1,0,0,138.91500000000002,64,100,80
130.75,61,0.5,63.5,1,0,0,138.91500000000002,64,100,80
131.25,59,1.0,63.5,1,0,0,138.91500000000002,64,100,80
132.25,68,2.0,63.5,49,9,0,138.91500000000002,64,100,80
134.25,61,0.5,63.5,1,0,0,138.91500000000002,64,100,80
134.75,68,2.0,63.5,1,0,0,138.91500000000002,64,100,80
136.75,70,2.0,63.5,50,9,0,138.91500000000002,64,100,80
138.75,59,1.0,63.5,1,0,0,138.91500000000002,64,100,80
139.75,59,1.0,63.5,1,0,0,138.91500000000002,64,100,80
140.75,68,2.0,74.08,1,0,0,138.91500000000002,64,100,80
142.75,63,0.5,74.08,1,0,0,138.91500000000002,64,100,80
143.25,68,2.0,74.08,1,0,0,138.91500000000002,64,100,80
145.25,64,1.0,74.08,1,0,0,138.91500000000002,64,100,80
146.25,63,0.5,74.08,50,9,0,138.91500000000002,64,100,80
146.75,0,1.0,74.08,49,9,0,120.0,64,100,80
147.75,65,1.0,74.08,1,0,0,120.0,64,100,80
148.75,65,1.0,74.08,1,0,0,144.9,64,100,80
149.75,65,1.0,74.08,1,0,0,304.28999999999996,64,100,80
150.75,65,1.0,74.08,1,0,0,479.25675,64,100,80
151.75,65,1.0,74.08,1,0,0,138.91500000000002,64,100,80
152.75,71,2.0,74.08,1,0,0,138.91500000000002,64,100,80
154.75,71,2.0,42.33,1,0,0,138.91500000000002,64,100,80
156.75,69,2.0,42.33,1,0,0,138.91500000000002,64,100,80
158.75,69,2.0,42.33,1,0,0,167.73986250000002,64,100,80
160.75,64,0.5,42.33,49,9,0,145.86075000000002,64,100,80
161.25,62,0.5,42.33,1,0,0,145.86075000000002,64,100,80
161.75,65,1.0,42.33,1,0,0,145.86075000000002,64,100,80
162.75,0,1.0,42.33,49,9,0,120.0,64,100,80
163.75,60,1.0,42.33,1,0,0,120.0,64,100,80
164.75,0,1.0,42.33,49,9,0,120.0,64,100,80
165.75,69,2.0,42.33,1,0,0,120.0,64,100,80
167.75,71,2.0,42.33,1,0,0,120.0,64,100,80
169.75,60,1.0,42.33,1,0,0,120.0,64,100,80
170.75,69,2.0,84.66,1,0,0,120.0,64,100,80
172.75,64,0.5,84.66,1,0,0,120.0,64,100,80
173.25,71,2.0,84.66,1,0,0,120.0,64,100,80
175.25,67,0.25,84.66,1,0,0,120.0,64,100,80
175.5,69,2.0,84.66,1,0,0,120.0,64,100,80
177.5,65,1.0,84.66,1,0,0,120.0,64,100,80
178.5,69,2.0,84.66,1,0,0,120.0,64,100,80
180.5,69,2.0,84.66,1,0,0,120.0,64,100,80
182.5,71,2.0,84.66,1,0,0,120.0,64,100,80
184.5,60,1.0,84.66,1,0,0,120.0,64,100,80
185.5,60,1.0,84.66,1,0,0,144.9,64,100,80
186.5,64,0.5,84.66,1,0,0,126.0,64,100,80
187.0,69,2.0,42.33,1,0,0,126.0,64,100,80
189.0,65,1.0,42.33,1,0,0,126.0,64,100,80
190.0,65,1.0,42.33,1,0,0,152.14499999999998,64,100,80
191.0,64,0.5,42.33,1,0,0,132.3,64,100,80
191.5,64,0.5,42.33,1,0,0,132.3,64,100,80
192.0,71,2.0,42.33,1,0,0,132.3,64,100,80
194.0,62,0.5,42.33,1,0,0,132.3,64,100,80
194.5,71,2.0,42.33,1,0,0,132.3,64,100,80
196.5,71,2.0,42.33,1,0,0,132.3,64,100,80
198.5,64,0.5,42.33,1,0,0,132.3,64,100,80
199.0,64,0.5,42.33,1,0,0,159.75225,64,100,80
199.5,69,2.0,42.33,1,0,0,138.91500000000002,64,100,80
201.5,69,2.0,42.33,1,0,0,138.91500000000002,64,100,80
203.5,71,2.0,42.33,1,0,0,138.91500000000002,64,100,80
205.5,64,0.5,42.33,1,0,0,138.91500000000002,64,100,80
206.0,60,1.0,42.33,1,0,0,138.91500000000002,64,100,80
207.0,62,0.5,42.33,1,0,0,138.91500000000002,64,100,80
207.5,60,1.0,42.33,1,0,0,138.91500000000002,64,100,80
208.5,64,0.5,42.33,1,0,0,138.91500000000002,64,100,80
209.0,71,2.0,42.33,50,9,0,138.91500000000002,64,100,80
211.0,65,1.0,42.33,1,0,0,138.91500000000002,64,100,80
212.0,60,1.0,42.33,1,0,0,138.91500000000002,64,100,80
213.0,64,0.5,42.33,1,0,0,138.91500000000002,64,100,80
213.5,64,0.5,42.33,50,9,0,167.73986250000002,64,100,80
214.0,62,0.5,84.66,1,0,0,145.86075000000002,64,100,80
214.5,71,2.0,84.66,50,9,0,145.86075000000002,64,100,80
216.5,65,1.0,84.66,1,0,0,145.86075000000002,64,100,80
217.5,60,1.0,84.66,1,0,0,145.86075000000002,64,100,80
218.5,60,1.0,84.66,1,0,0,176.12685562500005,64,100,80
219.5,64,0.5,84.66,1,0,0,153.15378750000005,64,100,80
220.0,64,0.5,84.66,1,0,0,184.93319840625003,64,100,80
220.5,71,2.0,84.66,50,9,0,160.81147687500004,64,100,80
222.5,60,1.0,84.66,1,0,0,160.81147687500004,64,100,80
223.5,60,1.0,84.66,1,0,0,194.17985832656254,64,100,80
224.5,60,1.0,84.66,1,0,0,407.7777024857814,64,100,80
225.5,69,2.0,84.66,49,9,0,177.29465325468757,64,100,80
227.5,65,1.0,63.5,1,0,0,177.29465325468757,64,100,80
228.5,65,1.0,63.5,1,0,0,177.29465325468757,64,100,80
229.5,71,2.0,63.5,1,0,0,177.29465325468757,64,100,80
231.5,60,1.0,63.5,1,0,0,177.29465325468757,64,100,80
232.5,64,0.5,63.5,1,0,0,177.29465325468757,64,100,80
233.0,60,1.0,63.5,1,0,0,177.29465325468757,64,100,80
234.0,64,0.5,63.5,1,0,0,177.29465325468757,64,100,80
234.5,62,0.5,63.5,1,0,0,177.29465325468757,64,100,80
235.0,71,2.0,63.5,1,0,0,177.29465325468757,64,100,80
237.0,71,2.0,63.5,1,0,0,177.29465325468757,64,100,80
239.0,62,0.5,63.5,1,0,0,177.29465325468757,64,100,80
239.5,69,2.0,63.5,1,0,0,177.29465325468757,64,100,80
241.5,64,0.5,74.08,1,0,0,177.29465325468757,64,100,80
242.0,64,0.5,74.08,1,0,0,214.08329380503523,64,100,80
242.5,62,0.5,74.08,1,0,0,186.15938591742196,64,100,80
243.0,65,1.0,74.08,1,0,0,186.15938591742196,64,100,80
244.0,69,2.0,74.08,1,0,0,186.15938591742196,64,100,80
246.0,60,1.0,74.08,1,0,0,186.15938591742196,64,100,80
247.0,71,2.0,74.08,1,0,0,186.15938591742196,64,100,80
249.0,69,2.0,74.08,1,0,0,186.15938591742196,64,100,80
251.0,65,1.0,74.08,1,0,0,186.15938591742196,64,100,80
252.0,64,0.5,74.08,1,0,0,186.15938591742196,64,100,80
252.5,62,0.5,74.08,1,0,0,186.15938591742196,64,100,80
253.0,64,0.5,74.08,1,0,0,186.15938591742196,64,100,80
253.5,71,2.0,84.66,1,0,0,186.15938591742196,64,100,80
255.5,62,0.5,84.66,1,0,0,186.15938591742196,64,100,80
256.0,65,1.0,84.66,1,0,0,186.15938591742196,64,100,80
257.0,71,2.0,84.66,49,9,0,186.15938591742196,64,100,80
259.0,64,0.5,84.66,1,0,0,186.15938591742196,64,100,80
259.5,62,0.5,84.66,1,0,0,186.15938591742196,64,100,80
260.0,62,0.5,84.66,1,0,0,186.15938591742196,64,100,80
260.5,65,1.0,84.66,1,0,0,186.15938591742196,64,100,80
261.5,67,0.25,84.66,1,0,0,186.15938591742196,64,100,80
261.75,67,0.25,84.66,1,0,0,186.15938591742196,64,100,80
262.0,64,0.5,84.66,1,0,0,186.15938591742196,64,100,80
262.5,71,2.0,84.66,1,0,0,186.15938591742196,64,100,80
264.5,69,2.0,63.5,1,0,0,186.15938591742196,64,100,80
266.5,60,1.0,63.5,49,9,0,186.15938591742196,64,100,80
267.5,65,1.0,63.5,50,9,0,186.15938591742196,64,100,80
268.5,62,0.5,63.5,1,0,0,186.15938591742196,64,100,80
269.0,71,2.0,63.5,1,0,0,186.15938591742196,64,100,80
271.0,0,1.0,63.5,49,9,0,120.0,64,100,80
272.0,60,1.0,63.5,1,0,0,120.0,64,100,80
273.0,65,1.0,63.5,1,0,0,120.0,64,100,80
274.0,64,0.5,63.5,1,0,0,120.0,64,100,80
274.5,67,0.25,63.5,1,0,0,120.0,64,100,80
274.75,60,1.0,63.5,49,9,0,120.0,64,100,80
275.75,67,0.25,63.5,1,0,0,120.0,64,100,80
276.0,0,1.0,95.25,49,9,0,120.0,64,100,80
277.0,60,1.0,95.25,1,0,0,120.0,64,100,80
278.0,64,0.5,95.25,1,0,0,120.0,64,100,80
278.5,67,0.25,95.25,1,0,0,120.0,64,100,80
278.75,67,0.25,95.25,1,0,0,120.0,64,100,80
279.0,65,1.0,95.25,1,0,0,120.0,64,100,80
280.0,65,1.0,95.25,1,0,0,120.0,64,100,80
281.0,62,0.5,95.25,1,0,0,120.0,64,100,80
281.5,62,0.5,95.25,1,0,0,144.9,64,100,80
282.0,60,1.0,95.25,1,0,0,126.0,64,100,80
283.0,62,0.5,95.25,1,0,0,126.0,64,100,80
283.5,64,0.5,95.25,49,9,0,126.0,64,100,80
284.0,60,1.0,63.5,1,0,0,126.0,64,100,80
